Pk,Tm,Player,College,Yrs
1,NOH,Anthony Davis,Kentucky,8
2,CHA,Michael Kidd-Gilchrist,Kentucky,8
3,WAS,Bradley Beal,Florida,8
4,CLE,Dion Waiters,Syracuse,8
5,SAC,Thomas Robinson,Kansas,5
6,POR,Damian Lillard,Weber State,8
7,GSW,Harrison Barnes,UNC,8
8,TOR,Terrence Ross,Washington,8
9,DET,Andre Drummond,UConn,8
10,NOH,Austin Rivers,Duke,8
11,POR,Meyers Leonard,Illinois,8
12,HOU,Jeremy Lamb,UConn,8
13,PHO,Kendall Marshall,UNC,4
14,MIL,John Henson,UNC,8
15,PHI,Maurice Harkless,St. John's,8
16,HOU,Royce White,Iowa State,1
17,DAL,Tyler Zeller,UNC,7
18,HOU,Terrence Jones,Kentucky,6
19,ORL,Andrew Nicholson,St. Bonaventure,5
20,DEN,Evan Fournier,,8
21,BOS,Jared Sullinger,Ohio State,5
22,BOS,Fab Melo,Syracuse,1
23,ATL,John Jenkins,Vanderbilt,6
24,CLE,Jared Cunningham,Oregon State,4
25,MEM,Tony Wroten,Washington,4
26,IND,Miles Plumlee,Duke,7
27,MIA,Arnett Moultrie,Mississippi State,2
28,OKC,Perry Jones,Baylor,3
29,CHI,Marquis Teague,Kentucky,3
30,GSW,Festus Ezeli,Vanderbilt,3
31,CHA,Jeffery Taylor,Vanderbilt,3
32,WAS,Tomáš Satoranský,,4
33,CLE,Bernard James,Florida State,3
34,CLE,Jae Crowder,Marquette,8
35,GSW,Draymond Green,Michigan State,8
36,SAC,Orlando Johnson,UC Santa Barbara,3
37,TOR,Quincy Acy,Baylor,7
38,DEN,Quincy Miller,Baylor,3
39,DET,Khris Middleton,Texas A&M,8
40,POR,Will Barton,Memphis,8
41,POR,Tyshawn Taylor,Kansas,2
42,MIL,Doron Lamb,Kentucky,2
43,ATL,Mike Scott,Virginia,8
44,DET,Kim English,Missouri,1
45,PHI,Justin Hamilton,LSU,3
46,NOH,Darius Miller,Kentucky,5
47,UTA,Kevin Murphy,Tennessee Technological University,1
48,NYK,Kostas Papanikolaou,,2
49,ORL,Kyle O'Quinn,Norfolk State,8
50,DEN,İzzet Türkyılmaz,,
51,BOS,Kris Joseph,Syracuse,1
52,GSW,Ognjen Kuzmić,,2
53,LAC,Furkan Aldemir,,1
54,PHI,Tornike Shengelia,,2
55,DAL,Darius Johnson-Odom,Marquette,2
56,TOR,Tomislav Zubčić,,
57,NJN,İlkan Karaman,,
58,MIN,Robbie Hummel,Purdue,2
59,SAS,Marcus Denmon,Missouri,
60,LAL,Robert Sacre,Gonzaga,4