Rk,Player,G,MP,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,3P%,FT%,MP,PTS,TRB,AST
1,Quincy Acy,29,342,42,75,1,2,31,38,30,77,11,13,15,17,53,116,0.56,0.5,0.816,11.8,4,2.7,0.4
2,Josh Akognon,3,9,2,4,1,2,0,0,0,1,1,0,0,0,3,5,0.5,0.5,,3,1.7,0.3,0.3
3,Harrison Barnes,81,2058,276,628,52,145,144,190,53,333,98,52,14,101,140,748,0.439,0.359,0.758,25.4,9.2,4.1,1.2
4,Will Barton,73,894,118,309,9,65,50,65,36,145,58,34,9,60,56,295,0.382,0.138,0.769,12.2,4,2,0.8
5,Aron Baynes,16,141,18,36,0,1,7,12,12,32,5,1,6,11,23,43,0.5,0,0.583,8.8,2.7,2,0.3
6,Kent Bazemore,61,267,43,116,10,34,27,44,5,22,22,17,4,18,27,123,0.371,0.294,0.614,4.4,2,0.4,0.4
7,Bradley Beal,56,1745,282,687,91,236,125,159,43,211,137,50,29,90,113,780,0.41,0.386,0.786,31.2,13.9,3.8,2.4
8,Patrick Beverley,41,713,79,189,36,96,34,41,45,109,117,37,21,44,83,228,0.418,0.375,0.829,17.4,5.6,2.7,2.9
9,Victor Claver,49,812,74,189,25,87,14,30,31,119,43,26,12,43,75,187,0.392,0.287,0.467,16.6,3.8,2.4,0.9
10,Chris Copeland,56,862,182,380,59,140,63,83,34,119,27,16,12,50,104,486,0.479,0.421,0.759,15.4,8.7,2.1,0.5
11,Jae Crowder,78,1353,141,367,63,192,47,73,35,187,94,63,17,49,128,392,0.384,0.328,0.644,17.3,5,2.4,1.2
12,Jared Cunningham,8,26,6,14,2,3,2,2,1,3,1,1,0,2,3,16,0.429,0.667,1,3.3,2,0.4,0.1
13,Anthony Davis,64,1846,349,676,0,6,169,225,165,522,63,75,112,89,158,867,0.516,0,0.751,28.8,13.5,8.2,1
14,Nando De Colo,72,920,105,241,31,82,35,44,23,138,138,41,6,81,87,276,0.436,0.378,0.795,12.8,3.8,1.9,1.9
15,Andre Drummond,60,1243,208,342,1,2,59,159,169,457,30,59,95,57,144,476,0.608,0.5,0.371,20.7,7.9,7.6,0.5
16,Kim English,41,407,42,112,14,50,21,29,8,37,26,16,3,19,46,119,0.375,0.28,0.724,9.9,2.9,0.9,0.6
17,Festus Ezeli,78,1120,74,169,0,0,43,81,141,313,22,23,74,63,157,191,0.438,,0.531,14.4,2.4,4,0.3
18,Evan Fournier,38,428,75,152,22,54,30,39,6,35,44,19,1,32,65,202,0.493,0.407,0.769,11.3,5.3,0.9,1.2
19,Joel Freeland,51,477,58,142,0,0,18,27,40,119,13,13,11,19,67,134,0.408,,0.667,9.4,2.6,2.3,0.3
20,Diante Garrett,19,149,16,49,3,15,5,10,5,15,31,10,0,16,5,40,0.327,0.2,0.5,7.8,2.1,0.8,1.6
21,Draymond Green,79,1061,84,257,14,67,45,55,58,260,53,42,25,51,159,227,0.327,0.209,0.818,13.4,2.9,3.3,0.7
22,Ben Hansbrough,28,200,15,45,6,23,21,27,2,18,21,7,2,18,23,57,0.333,0.261,0.778,7.1,2,0.6,0.8
23,Maurice Harkless,76,1974,260,564,32,117,73,128,122,335,50,88,62,69,144,625,0.461,0.274,0.57,26,8.2,4.4,0.7
24,John Henson,63,827,162,336,0,3,56,105,116,297,31,19,42,47,83,380,0.482,0,0.533,13.1,6,4.7,0.5
25,Justin Holiday,9,142,16,48,4,16,6,8,0,14,15,3,6,9,7,42,0.333,0.25,0.75,15.8,4.7,1.6,1.7
26,Bernard James,46,457,53,103,0,2,25,41,52,131,6,12,38,18,64,131,0.515,0,0.61,9.9,2.8,2.8,0.1
27,John Jenkins,61,902,131,294,53,138,59,70,17,94,56,12,10,40,37,374,0.446,0.384,0.843,14.8,6.1,1.5,0.9
28,Chris Johnson,8,102,11,25,6,18,1,2,5,11,2,4,0,3,5,29,0.44,0.333,0.5,12.8,3.6,1.4,0.3
29,Orlando Johnson,51,619,72,180,36,94,23,32,20,110,47,11,9,29,51,203,0.4,0.383,0.719,12.1,4,2.2,0.9
30,Darius Johnson-Odom,4,6,0,4,0,1,0,0,1,4,1,0,0,0,0,0,0,0,,1.5,0,1,0.3
31,DeQuan Jones,63,803,95,218,9,35,34,51,17,105,16,19,22,30,55,233,0.436,0.257,0.667,12.7,3.7,1.7,0.3
32,Kevin Jones,32,334,43,107,0,0,9,15,38,78,10,9,5,8,25,95,0.402,,0.6,10.4,3,2.4,0.3
33,Perry Jones,38,280,39,99,0,2,10,15,12,62,10,5,6,15,23,88,0.394,0,0.667,7.4,2.3,1.6,0.3
34,Terrence Jones,19,276,43,94,5,19,13,17,28,65,15,12,19,13,21,104,0.457,0.263,0.765,14.5,5.5,3.4,0.8
35,Kris Joseph,10,54,2,14,0,3,5,8,1,7,1,3,0,2,3,9,0.143,0,0.625,5.4,0.9,0.7,0.1
36,Michael Kidd-Gilchrist,78,2025,281,613,2,9,140,187,131,455,117,54,70,101,164,704,0.458,0.222,0.749,26,9,5.8,1.5
37,Viacheslav Kravtsov,25,224,33,46,0,0,11,37,24,45,9,5,9,14,32,77,0.717,,0.297,9,3.1,1.8,0.4
38,Doron Lamb,47,577,60,163,14,37,20,34,8,46,32,13,0,26,52,154,0.368,0.378,0.588,12.3,3.3,1,0.7
39,Jeremy Lamb,23,147,24,68,9,30,14,14,5,18,5,2,2,6,13,71,0.353,0.3,1,6.4,3.1,0.8,0.2
40,Meyers Leonard,69,1206,151,277,3,7,72,89,80,255,33,11,38,49,168,377,0.545,0.429,0.809,17.5,5.5,3.7,0.5
41,Damian Lillard,82,3167,553,1288,185,503,271,321,42,257,531,74,19,243,172,1562,0.429,0.368,0.844,38.6,19,3.1,6.5
42,Scott Machado,6,21,3,6,0,1,2,2,0,1,6,2,0,8,0,8,0.5,0,1,3.5,1.3,0.2,1
43,Kendall Marshall,48,702,56,151,23,73,8,14,4,42,143,22,4,57,48,143,0.371,0.315,0.571,14.6,3,0.9,3
44,Fab Melo,6,36,3,6,0,0,1,4,0,3,0,2,2,1,7,7,0.5,,0.25,6,1.2,0.5,0
45,Khris Middleton,27,475,62,141,14,45,27,32,4,50,28,15,4,11,53,165,0.44,0.311,0.844,17.6,6.1,1.9,1
46,Darius Miller,52,694,44,108,22,56,8,8,8,78,44,17,12,23,89,118,0.407,0.393,1,13.3,2.3,1.5,0.8
47,Quincy Miller,7,26,4,12,0,1,1,2,1,2,3,1,0,1,3,9,0.333,0,0.5,3.7,1.3,0.3,0.4
48,Donatas Motiejūnas,44,538,97,213,24,83,32,51,36,93,31,7,10,37,73,250,0.455,0.289,0.627,12.2,5.7,2.1,0.7
49,Arnett Moultrie,47,542,78,134,0,0,18,28,76,145,10,17,10,19,43,174,0.582,,0.643,11.5,3.7,3.1,0.2
50,Kevin Murphy,17,52,7,28,1,5,0,0,0,4,2,1,0,3,4,15,0.25,0.2,,3.1,0.9,0.2,0.1
51,Andrew Nicholson,75,1249,256,486,0,0,75,94,69,258,44,24,32,79,133,587,0.527,,0.798,16.7,7.8,3.4,0.6
52,Kyle O'Quinn,57,638,101,197,0,1,30,45,65,209,52,11,26,37,107,232,0.513,0,0.667,11.2,4.1,3.7,0.9
53,Tim Ohlbrecht,3,12,1,3,0,0,1,1,0,1,1,1,0,4,1,3,0.333,,1,4,1,0.3,0.3
54,Miles Plumlee,14,55,5,21,0,0,3,4,12,22,2,0,3,3,5,13,0.238,,0.75,3.9,0.9,1.6,0.1
55,Pablo Prigioni,78,1263,100,220,53,134,22,25,41,143,236,69,2,86,127,275,0.455,0.396,0.88,16.2,3.5,1.8,3
56,Austin Rivers,61,1418,145,390,28,86,59,108,16,109,127,26,9,74,122,377,0.372,0.326,0.546,23.2,6.2,1.8,2.1
57,Brian Roberts,78,1324,213,511,59,153,70,77,17,97,219,37,3,71,108,555,0.417,0.386,0.909,17,7.1,1.2,2.8
58,Thomas Robinson,70,1056,138,321,0,1,57,109,122,315,46,41,26,88,124,333,0.43,0,0.523,15.1,4.8,4.5,0.7
59,Terrence Ross,73,1239,186,457,65,196,30,42,35,144,53,43,14,48,122,467,0.407,0.332,0.714,17,6.4,2,0.7
60,Robert Sacre,32,203,18,48,0,0,7,11,9,34,6,0,10,10,38,43,0.375,,0.636,6.3,1.3,1.1,0.2
61,Mike Scott,40,376,70,147,0,1,43,56,39,110,12,4,2,21,32,183,0.476,0,0.768,9.4,4.6,2.8,0.3
62,Tornike Shengelia,19,93,10,23,1,2,9,16,9,23,3,3,1,11,11,30,0.435,0.5,0.563,4.9,1.6,1.2,0.2
63,Alexey Shved,77,1840,236,635,85,288,108,150,41,175,286,54,27,147,117,665,0.372,0.295,0.72,23.9,8.6,2.3,3.7
64,Henry Sims,2,5,2,3,0,0,0,0,2,2,0,0,0,1,1,4,0.667,,,2.5,2,1,0
65,Kyle Singler,82,2293,275,642,70,200,100,124,109,330,77,57,37,98,217,720,0.428,0.35,0.806,28,8.8,4,0.9
66,Jared Sullinger,45,892,111,225,1,5,47,63,92,264,35,22,22,29,154,270,0.493,0.2,0.746,19.8,6,5.9,0.8
67,Jeffery Taylor,77,1507,172,399,53,154,75,103,51,150,63,47,15,48,136,472,0.431,0.344,0.728,19.6,6.1,1.9,0.8
68,Tyshawn Taylor,38,221,32,87,6,13,15,27,2,18,21,13,0,25,25,85,0.368,0.462,0.556,5.8,2.2,0.5,0.6
69,Marquis Teague,48,392,43,113,4,23,9,16,3,44,63,9,7,35,47,99,0.381,0.174,0.563,8.2,2.1,0.9,1.3
70,Mirza Teletović,53,499,71,185,37,108,9,11,33,95,23,13,8,20,53,188,0.384,0.343,0.818,9.4,3.5,1.8,0.4
71,Jonas Valančiūnas,62,1482,204,366,0,0,146,185,121,372,45,17,78,94,188,554,0.557,,0.789,23.9,8.9,6,0.7
72,Jarvis Varnado,13,58,3,7,0,0,2,4,2,9,3,1,2,6,10,8,0.429,,0.5,4.5,0.6,0.7,0.2
73,Dion Waiters,61,1756,336,815,63,203,159,213,22,149,183,59,16,121,113,894,0.412,0.31,0.746,28.8,14.7,2.4,3
74,Maalik Wayns,27,202,26,88,7,31,17,19,1,7,27,6,0,15,26,76,0.295,0.226,0.895,7.5,2.8,0.3,1
75,Chris Wright,3,4,1,2,0,0,0,0,0,0,0,0,0,1,0,2,0.5,,,1.3,0.7,0,0
76,Tony Wroten,35,272,33,86,4,16,21,29,13,28,43,8,4,29,34,91,0.384,0.25,0.724,7.8,2.6,0.8,1.2
77,Luke Zeller,16,58,9,26,1,5,0,0,1,10,3,0,0,0,5,19,0.346,0.2,,3.6,1.2,0.6,0.2
78,Tyler Zeller,77,2033,245,559,0,4,120,157,159,438,96,35,70,95,251,610,0.438,0,0.764,26.4,7.9,5.7,1.2